data,regiao,classe,consumo,consumidores
2004-01-01,Centro-Oeste,Comercial,307282.1,342130
2004-01-01,Centro-Oeste,Industrial,364327.0,33512
2004-01-01,Centro-Oeste,Outros,223257.8,34487
2004-01-01,Centro-Oeste,Residencial,506540.39999999997,3210018
2004-01-01,Centro-Oeste,Rural,105766.6,237641
2004-01-01,Nordeste,Comercial,589290.2000000001,892512
2004-01-01,Nordeste,Industrial,2015783.3,64251
2004-01-01,Nordeste,Outros,513540.30000000005,169675
2004-01-01,Nordeste,Residencial,1098663.5,10867170
2004-01-01,Nordeste,Rural,239834.9,706120
2004-01-01,Norte,Comercial,193809.5,238651
2004-01-01,Norte,Industrial,840290.3999999999,15267
2004-01-01,Norte,Outros,168627.7,32305
2004-01-01,Norte,Residencial,348584.80000000005,2292409
2004-01-01,Norte,Rural,23122.0,100785
2004-01-01,Sudeste,Comercial,2450453.3000000003,2073581
2004-01-01,Sudeste,Industrial,6977470.6,234492
2004-01-01,Sudeste,Outros,1421908.5,171533
2004-01-01,Sudeste,Residencial,3694385.5,22297938
2004-01-01,Sudeste,Rural,385310.2,805166
2004-01-01,Sul,Comercial,704001.7,691450
2004-01-01,Sul,Industrial,1810980.2,159232
2004-01-01,Sul,Outros,373249.4,84291
2004-01-01,Sul,Residencial,1132506.0,6762504
2004-01-01,Sul,Rural,489375.7,814350
2004-01-02,Centro-Oeste,Comercial,290146.8,341521
2004-01-02,Centro-Oeste,Industrial,372651.5,33368
2004-01-02,Centro-Oeste,Outros,222201.0,34775
2004-01-02,Centro-Oeste,Residencial,472102.6,3217172
2004-01-02,Centro-Oeste,Rural,98910.90000000001,238298
2004-01-02,Nordeste,Comercial,550772.7,890726
2004-01-02,Nordeste,Industrial,1942019.7,63961
2004-01-02,Nordeste,Outros,493031.39999999997,170057
2004-01-02,Nordeste,Residencial,1000320.3,10901202
2004-01-02,Nordeste,Rural,153722.9,712616
2004-01-02,Norte,Comercial,175495.3,244446
2004-01-02,Norte,Industrial,810256.3,15355
2004-01-02,Norte,Outros,176929.7,33973
2004-01-02,Norte,Residencial,323402.6,2350587
2004-01-02,Norte,Rural,21364.6,101924
2004-01-02,Sudeste,Comercial,2396965.2,2077303
2004-01-02,Sudeste,Industrial,7084622.300000001,234214
2004-01-02,Sudeste,Outros,1379180.1,172235
2004-01-02,Sudeste,Residencial,3511541.2,22381311
2004-01-02,Sudeste,Rural,342404.3,813711
2004-01-02,Sul,Comercial,733894.9,691610
2004-01-02,Sul,Industrial,1931866.5,159099
2004-01-02,Sul,Outros,370094.1,84554
2004-01-02,Sul,Residencial,1121970.5,6779827
2004-01-02,Sul,Rural,532402.0,816562
2004-01-03,Centro-Oeste,Comercial,307100.2,341595
2004-01-03,Centro-Oeste,Industrial,408630.6,33362
2004-01-03,Centro-Oeste,Outros,222832.9,34939
2004-01-03,Centro-Oeste,Residencial,493180.9,3230055
2004-01-03,Centro-Oeste,Rural,103098.90000000001,239170
2004-01-03,Nordeste,Comercial,573027.9,889760
2004-01-03,Nordeste,Industrial,2082250.5,63837
2004-01-03,Nordeste,Outros,511837.5,170310
2004-01-03,Nordeste,Residencial,1049437.2,11021119
2004-01-03,Nordeste,Rural,156190.0,644476
2004-01-03,Norte,Comercial,182756.9,242008
2004-01-03,Norte,Industrial,880887.8999999999,15274
2004-01-03,Norte,Outros,170006.8,32608
2004-01-03,Norte,Residencial,320237.3,2341931
2004-01-03,Norte,Rural,20287.6,103167
2004-01-03,Sudeste,Comercial,2402520.7,2085573
2004-01-03,Sudeste,Industrial,7087613.4,234844
2004-01-03,Sudeste,Outros,1442131.8,172814
2004-01-03,Sudeste,Residencial,3629455.2,22484677
2004-01-03,Sudeste,Rural,342082.4,816970
2004-01-03,Sul,Comercial,738457.1,693258
2004-01-03,Sul,Industrial,2149030.7,159281
2004-01-03,Sul,Outros,378759.3,84950
2004-01-03,Sul,Residencial,1108027.3,6796223
2004-01-03,Sul,Rural,524496.1,819128
2004-01-04,Centro-Oeste,Comercial,329160.89999999997,341669
2004-01-04,Centro-Oeste,Industrial,419429.99999999994,33439
2004-01-04,Centro-Oeste,Outros,242388.5,35149
2004-01-04,Centro-Oeste,Residencial,506070.9,3241571
2004-01-04,Centro-Oeste,Rural,113636.2,239969
2004-01-04,Nordeste,Comercial,603938.7999999999,890663
2004-01-04,Nordeste,Industrial,2056946.8,63773
2004-01-04,Nordeste,Outros,529350.5,171045
2004-01-04,Nordeste,Residencial,1097250.5999999999,11079392
2004-01-04,Nordeste,Rural,174512.90000000002,637672
2004-01-04,Norte,Comercial,189490.8,248972
2004-01-04,Norte,Industrial,861612.2,15426
2004-01-04,Norte,Outros,186607.9,34310
2004-01-04,Norte,Residencial,339774.80000000005,2404355
2004-01-04,Norte,Rural,21376.5,104616
2004-01-04,Sudeste,Comercial,2580913.8,2084929
2004-01-04,Sudeste,Industrial,7384539.0,234464
2004-01-04,Sudeste,Outros,1445256.0,173176
2004-01-04,Sudeste,Residencial,3733863.0,22511086
2004-01-04,Sudeste,Rural,356750.3,818732
2004-01-04,Sul,Comercial,743570.5,694872
2004-01-04,Sul,Industrial,2164762.1,159711
2004-01-04,Sul,Outros,391358.7,85170
2004-01-04,Sul,Residencial,1132047.1,6808504
2004-01-04,Sul,Rural,441572.6,821653
2004-01-05,Centro-Oeste,Comercial,303237.9,342261
2004-01-05,Centro-Oeste,Industrial,407523.80000000005,33352
2004-01-05,Centro-Oeste,Outros,237921.8,35290
2004-01-05,Centro-Oeste,Residencial,492808.3,3252477
2004-01-05,Centro-Oeste,Rural,124296.3,240787
2004-01-05,Nordeste,Comercial,570176.6,891711
2004-01-05,Nordeste,Industrial,2100191.5,63775
2004-01-05,Nordeste,Outros,527944.5,171934
2004-01-05,Nordeste,Residencial,1033006.9,11047829
2004-01-05,Nordeste,Rural,192265.4,639731
2004-01-05,Norte,Comercial,191642.2,240931
2004-01-05,Norte,Industrial,901709.7000000001,15239
2004-01-05,Norte,Outros,182147.1,33374
2004-01-05,Norte,Residencial,332154.9,2330981
2004-01-05,Norte,Rural,21475.0,105995
2004-01-05,Sudeste,Comercial,2344084.0,2076210
2004-01-05,Sudeste,Industrial,7258306.6,233057
2004-01-05,Sudeste,Outros,1394338.5,172159
2004-01-05,Sudeste,Residencial,3537268.7,22525747
2004-01-05,Sudeste,Rural,372630.9,819887
2004-01-05,Sul,Comercial,696579.5,693574
2004-01-05,Sul,Industrial,2164980.3,159463
2004-01-05,Sul,Outros,374809.0,85173
2004-01-05,Sul,Residencial,1082102.6,6808706
2004-01-05,Sul,Rural,404554.8,821943
2004-01-06,Centro-Oeste,Comercial,284963.0,343106
2004-01-06,Centro-Oeste,Industrial,450943.8,33307
2004-01-06,Centro-Oeste,Outros,228075.40000000002,35469
2004-01-06,Centro-Oeste,Residencial,466358.8,3272136
2004-01-06,Centro-Oeste,Rural,146855.8,241834
2004-01-06,Nordeste,Comercial,573743.5,898270
